"","OBJECTID","WD11CD","WD11CDO","WD11NM","WD11NMW","Shape_Leng","Shape_Area","treeCount","treeDensity"
"218",219,"E05000219","00ALGU","Eltham South",NA,10892.5825445,4630671.73285,912,0.000196947668202077
"219",220,"E05000220","00ALGW","Eltham West",NA,7858.00051095,2425676.36958,464,0.000191286853356027
"220",221,"E05000221","00ALGX","Glyndon",NA,7590.89690022,1702954.55927,646,0.00037934071492278
"221",222,"E05000222","00ALGY","Greenwich West",NA,9588.16670309,2789676.02555,310,0.000111124014817182
"222",223,"E05000223","00ALGZ","Kidbrooke with Hornfair",NA,7511.71274208,2377207.18916,909,0.000382381478628072
"223",224,"E05000224","00ALHA","Middle Park and Sutcliffe",NA,11982.3598745,3288405.76032,805,0.000244799473869904
"224",225,"E05000225","00ALHB","Peninsula",NA,9700.21624119,4490152.67544,1228,0.000273487359730552
"225",226,"E05000226","00ALHC","Plumstead",NA,9028.72639233,2346115.0128,739,0.000314988820225067
"226",227,"E05000227","00ALHD","Shooters Hill",NA,9586.93107735,3772080.55417,945,0.000250524872527162
"227",228,"E05000228","00ALHE","Thamesmead Moorings",NA,9317.24843524,4812550.28467,735,0.000152725676931983
"228",229,"E05000229","00ALHF","Woolwich Common",NA,8323.45413368,2620379.50543,285,0.000108762871716719
"229",230,"E05000230","00ALHG","Woolwich Riverside",NA,9381.11292496,3260050.39378,579,0.000177604616511616
"230",231,"E05000231","00AMGA","Brownswood",NA,3999.09792615,838529.400634,11,1.3118204312971e-05
"231",232,"E05000232","00AMGB","Cazenove",NA,3719.10125572,684627.549972,23,3.35949086489508e-05
"232",233,"E05000233","00AMGC","Chatham",NA,5076.28408232,907499.031516,22,2.42424501138564e-05
"233",234,"E05000234","00AMGD","Clissold",NA,3597.67503621,700441.726981,22,3.14087512956557e-05
"234",235,"E05000235","00AMGE","Dalston",NA,5552.15724586,926575.120599,15,1.6188649647955e-05
"235",236,"E05000236","00AMGF","De Beauvoir",NA,4690.29133742,887803.671649,44,4.95605069059489e-05
"236",237,"E05000237","00AMGG","Hackney Central",NA,4344.11822343,780319.081399,0,0
"237",238,"E05000238","00AMGH","Hackney Downs",NA,4453.9150672,1018044.63671,47,4.6166934439717e-05
"238",239,"E05000239","00AMGJ","Haggerston",NA,7323.30498485,1242534.15523,42,3.38018877171722e-05
"239",240,"E05000240","00AMGK","Hoxton",NA,4097.26162385,839611.418869,9,1.07192444001148e-05
"240",241,"E05000241","00AMGL","King's Park",NA,6204.09910941,1819561.13624,0,0
"241",242,"E05000242","00AMGM","Leabridge",NA,5073.58954492,1063609.72351,42,3.94881685185641e-05
"242",243,"E05000243","00AMGN","Lordship",NA,4894.47960968,1188045.69071,14,1.17840585673031e-05
"243",244,"E05000244","00AMGP","New River",NA,6035.27012177,977976.282426,26,2.65855118033941e-05
"244",245,"E05000245","00AMGQ","Queensbridge",NA,4964.36555514,1079719.64922,15,1.38924951590587e-05
"245",246,"E05000246","00AMGR","Springfield",NA,5306.58199328,952557.391615,8,8.39844409418001e-06
"246",247,"E05000247","00AMGS","Stoke Newington Central",NA,3973.00071567,711925.389247,59,8.28738529221338e-05
"247",248,"E05000248","00AMGT","Victoria",NA,4393.56417569,802212.116896,8,9.97242478825807e-06
"248",249,"E05000249","00AMGU","Wick",NA,6782.6515527,1627432.08516,2,1.22892993092025e-06
"249",250,"E05000250","00ANGA","Addison",NA,4051.03976376,554544.321063,17,3.06558003648636e-05
"250",251,"E05000251","00ANGB","Askew",NA,5010.63245857,761396.046209,113,0.000148411592839737
"251",252,"E05000252","00ANGC","Avonmore and Brook Green",NA,5442.26944756,893398.225385,316,0.000353705649977038
"252",253,"E05000253","00ANGD","College Park and Old Oak",NA,9016.06900272,3436567.94277,103,2.99717630249352e-05
"253",254,"E05000254","00ANGE","Fulham Broadway",NA,3719.04764424,668906.569926,19,2.84045647841115e-05
"254",255,"E05000255","00ANGF","Fulham Reach",NA,4845.21580303,881076.539169,641,0.000727519087732736
"255",256,"E05000256","00ANGG","Hammersmith Broadway",NA,5652.04259654,1103434.76442,271,0.000245596757269003
"256",257,"E05000257","00ANGH","Munster",NA,3853.87466076,623991.787986,388,0.000621803054895934
"257",258,"E05000258","00ANGJ","North End",NA,3560.27034587,638054.014136,194,0.000304049493775112
"258",259,"E05000259","00ANGK","Palace Riverside",NA,6976.41824709,1481165.23199,880,0.000594126827304613
"259",260,"E05000260","00ANGL","Parsons Green and Walham",NA,5924.03474627,897086.803343,244,0.000271991516417702
"260",261,"E05000261","00ANGM","Ravenscourt Park",NA,6402.97762114,1215021.83817,836,0.000688053476682896
"261",262,"E05000262","00ANGN","Sands End",NA,6236.48131852,1378090.21474,286,0.000207533583027168
"262",263,"E05000263","00ANGP","Shepherd's Bush Green",NA,5414.00655729,1066915.66667,267,0.000250254081310422
"263",264,"E05000264","00ANGQ","Town",NA,4000.1177586,650377.832946,30,4.61270333645555e-05
"264",265,"E05000265","00ANGR","Wormholt and White City",NA,4235.1073663,903973.749671,129,0.000142703258857256
"265",266,"E05000266","00APGA","Alexandra",NA,7989.23531409,2613870.85492,22,8.41663617713599e-06
"266",267,"E05000267","00APGB","Bounds Green",NA,6037.05999,1386201.81058,0,0
"267",268,"E05000268","00APGC","Bruce Grove",NA,4605.48518647,936575.845736,6,6.40631511829136e-06
"268",269,"E05000269","00APGD","Crouch End",NA,6483.80784614,1440391.19844,7,4.8597908731696e-06
"269",270,"E05000270","00APGE","Fortis Green",NA,10075.5693027,1990719.73608,48,2.4111882315566e-05
"270",271,"E05000271","00APGF","Harringay",NA,7027.73318613,1566078.52204,4,2.55415034666861e-06
"271",272,"E05000272","00APGG","Highgate",NA,9762.09442582,2494853.79702,18,7.21485163635627e-06
"272",273,"E05000273","00APGH","Hornsey",NA,5340.4686412,1053922.74301,0,0
"273",274,"E05000274","00APGJ","Muswell Hill",NA,7776.28001176,1653254.65707,0,0
"274",275,"E05000275","00APGK","Noel Park",NA,5053.33792367,1225628.32334,3,2.44772411248902e-06
"275",276,"E05000276","00APGL","Northumberland Park",NA,8323.51886003,1888029.51138,0,0
"276",277,"E05000277","00APGM","St Ann's",NA,5396.90340678,1093802.62561,2,1.8284834513733e-06
"277",278,"E05000278","00APGN","Seven Sisters",NA,6935.56009211,1294641.43078,46,3.55310736285887e-05
"278",279,"E05000279","00APGP","Stroud Green",NA,5312.6014394,1093740.12297,26,2.37716432393539e-05
"279",280,"E05000280","00APGQ","Tottenham Green",NA,5602.28208822,1359648.25401,25,1.83871085232705e-05
"280",281,"E05000281","00APGR","Tottenham Hale",NA,7446.61512403,1911888.55528,32,1.67373772448446e-05
"281",282,"E05000282","00APGS","West Green",NA,5315.3012243,1399139.59757,24,1.71533991615346e-05
"282",283,"E05000283","00APGT","White Hart Lane",NA,6208.75117873,1698836.96891,261,0.000153634518659125
"283",284,"E05000284","00APGU","Woodside",NA,6023.78504951,1497162.81789,2,1.33586005215882e-06
"284",285,"E05000285","00AQFY","Belmont",NA,7789.91021202,1777022.19171,1660,0.000934147028519613
"285",286,"E05000286","00AQFZ","Canons",NA,12841.0984471,5626368.43879,2183,0.000387994498359159
"286",287,"E05000287","00AQGA","Edgware",NA,5722.30035885,1403185.42555,835,0.000595074595841044
"287",288,"E05000288","00AQGB","Greenhill",NA,7346.73150281,1744880.57516,1355,0.000776557444267365
"288",289,"E05000289","00AQGC","Harrow on the Hill",NA,9647.09262068,3572087.70582,1546,0.000432800123434029
"289",290,"E05000290","00AQGD","Harrow Weald",NA,11854.473381,4589703.13785,2116,0.000461031996284065
"290",291,"E05000291","00AQGE","Hatch End",NA,9829.8000919,3278670.31926,2363,0.00072071900187974
"291",292,"E05000292","00AQGF","Headstone North",NA,10519.0499793,3296330.91399,2916,0.000884619923204629
"292",293,"E05000293","00AQGG","Headstone South",NA,6269.58004155,1467632.74313,1089,0.000742011245724253
"293",294,"E05000294","00AQGH","Kenton East",NA,5885.74371122,1279286.47286,1170,0.000914572322007289
"294",295,"E05000295","00AQGJ","Kenton West",NA,6947.813999,1764597.35958,1729,0.000979826922331713
"295",296,"E05000296","00AQGK","Marlborough",NA,7757.70534276,1646603.36693,1268,0.000770070088195512
"296",297,"E05000297","00AQGL","Pinner",NA,10715.4977446,3276849.2195,1473,0.000449517173762765
"297",298,"E05000298","00AQGM","Pinner South",NA,8273.83582457,2345612.66365,3574,0.00152369573006266
"298",299,"E05000299","00AQGN","Queensbury",NA,8488.71485383,1613610.65051,1170,0.000725081976639743
"299",300,"E05000300","00AQGP","Rayners Lane",NA,7057.84892639,1529736.70032,1305,0.000853087985482271
"300",301,"E05000301","00AQGQ","Roxbourne",NA,7146.90558568,1505754.45363,1218,0.00080889682714031
"301",302,"E05000302","00AQGR","Roxeth",NA,6420.24233782,1574927.82517,1296,0.000822894852248257
"302",303,"E05000303","00AQGS","Stanmore Park",NA,10694.8922886,4459263.62686,2569,0.000576104086898048
"303",304,"E05000304","00AQGT","Wealdstone",NA,5728.76200658,1195975.33069,821,0.000686469008960093
"304",305,"E05000305","00AQGU","West Harrow",NA,6581.08521417,1514646.16094,1832,0.0012095234169123
"305",306,"E05000306","00ARGC","Brooklands",NA,10966.4069781,4202621.16012,17,4.04509456174403e-06
"306",307,"E05000307","00ARGD","Cranham",NA,14168.655102,6555070.04891,93,1.41874914082322e-05
"307",308,"E05000308","00ARGE","Elm Park",NA,10727.3318999,3665264.85322,43,1.17317579279428e-05
"308",309,"E05000309","00ARGF","Emerson Park",NA,14016.37696,4642412.14699,28,6.03134730679567e-06
"309",310,"E05000310","00ARGG","Gooshays",NA,15759.071662,7758961.72987,27,3.47984703879561e-06
"310",311,"E05000311","00ARGH","Hacton",NA,8153.33253128,2465417.52567,0,0
"311",312,"E05000312","00ARGJ","Harold Wood",NA,16402.6915585,7589723.86668,423,5.5733252938771e-05
"312",313,"E05000313","00ARGK","Havering Park",NA,15576.5961291,9783261.12419,0,0
"313",314,"E05000314","00ARGL","Heaton",NA,11227.411257,3415651.43361,20,5.85539841771715e-06
"314",315,"E05000315","00ARGM","Hylands",NA,7707.52271616,2897747.63119,0,0
"315",316,"E05000316","00ARGN","Mawneys",NA,9271.94942513,3042643.52612,23,7.55921612321844e-06
"316",317,"E05000317","00ARGP","Pettits",NA,10645.0578538,3954583.99688,87,2.19997855825438e-05
"317",318,"E05000318","00ARGQ","Rainham and Wennington",NA,20754.666317,16884347.2933,0,0
"318",319,"E05000319","00ARGR","Romford Town",NA,10468.0075784,2864698.99016,0,0
"319",320,"E05000320","00ARGS","St Andrew's",NA,8825.61938894,2677112.23701,0,0
"320",321,"E05000321","00ARGT","South Hornchurch",NA,13300.9399264,6866896.93867,0,0
"321",322,"E05000322","00ARGU","Squirrel's Heath",NA,9100.10816748,2651475.06062,22,8.29726831174094e-06
"322",323,"E05000323","00ARGW","Upminster",NA,26135.0467929,22539374.6043,0,0
"323",324,"E05000324","00ASGG","Barnhill",NA,6737.5592674,2117590.2897,828,0.000391010482067729
"324",325,"E05000325","00ASGH","Botwell",NA,11200.1478408,4364117.06212,853,0.000195457635039984
"325",326,"E05000326","00ASGJ","Brunel",NA,11192.1245083,3277691.88119,1070,0.00032644923280828
"326",327,"E05000327","00ASGK","Cavendish",NA,6530.19610533,2011438.69533,946,0.000470310132838964
"327",328,"E05000328","00ASGL","Charville",NA,7953.95099277,2967288.64255,779,0.000262529229151488
"328",329,"E05000329","00ASGM","Eastcote and East Ruislip",NA,11697.4140893,4063443.92633,1578,0.000388340537879841
"329",330,"E05000330","00ASGN","Harefield",NA,20686.3125393,15227017.636,869,5.70696127614798e-05
"330",331,"E05000331","00ASGP","Heathrow Villages",NA,22376.2677713,23528350.0949,1069,4.54345500506467e-05
"331",332,"E05000332","00ASGQ","Hillingdon East",NA,10618.8459317,3596347.18647,276,7.67445370784375e-05
"332",333,"E05000333","00ASGR","Ickenham",NA,11710.055812,6204430.29797,1999,0.000322189130023722
"333",334,"E05000334","00ASGS","Manor",NA,6581.22918179,1974144.43153,650,0.000329256557735464
"334",335,"E05000335","00ASGT","Northwood",NA,13547.0995434,7397930.00915,1398,0.000188971779709787
"335",336,"E05000336","00ASGU","Northwood Hills",NA,10721.4817965,3329098.96547,1228,0.000368868577574204
"336",337,"E05000337","00ASGW","Pinkwell",NA,7590.7214783,2742743.85044,729,0.000265792228421779
"337",338,"E05000338","00ASGX","South Ruislip",NA,16506.1446061,7419786.33715,1131,0.000152430265321094
"338",339,"E05000339","00ASGY","Townfield",NA,8518.72541792,3502231.89516,1036,0.000295811365726488
"339",340,"E05000340","00ASGZ","Uxbridge North",NA,9900.48334926,4640436.28777,1650,0.000355570014902838
"340",341,"E05000341","00ASHA","Uxbridge South",NA,10073.7206304,3113386.17019,759,0.000243786012562554
"341",342,"E05000342","00ASHB","West Drayton",NA,10333.2795605,3489997.51233,861,0.000246705046910653
"342",343,"E05000343","00ASHC","West Ruislip",NA,13083.537116,4387401.49563,1092,0.000248894476852679
"343",344,"E05000344","00ASHD","Yeading",NA,6599.15820938,2326640.76019,831,0.000357167300692836
"344",345,"E05000345","00ASHE","Yiewsley",NA,10686.0099679,4019625.56426,754,0.000187579660827503
"345",346,"E05000346","00ATFY","Bedfont",NA,12336.1090789,4444861.07403,1448,0.000325769461829875
"346",347,"E05000347","00ATFZ","Brentford",NA,11883.4038754,3183527.75299,4625,0.0014527908530538
"347",348,"E05000348","00ATGA","Chiswick Homefields",NA,9662.60755459,2259244.88551,2547,0.00112736782821956
"348",349,"E05000349","00ATGB","Chiswick Riverside",NA,6554.06115464,2080063.96689,2070,0.000995161703171171
"349",350,"E05000350","00ATGC","Cranford",NA,9474.37475337,2720946.13131,1236,0.000454253755990412
"350",351,"E05000351","00ATGD","Feltham North",NA,8809.39850688,3384310.79447,1464,0.000432584383913064
"351",352,"E05000352","00ATGE","Feltham West",NA,9494.36161189,3182856.57174,1078,0.000338689468312515
"352",353,"E05000353","00ATGF","Hanworth",NA,12219.7213885,3234362.38221,940,0.00029062915311164
"353",354,"E05000354","00ATGG","Hanworth Park",NA,8463.91264156,3657928.60783,2805,0.000766827431784036
"354",355,"E05000355","00ATGH","Heston Central",NA,7199.51306461,1684647.02205,1100,0.000652955773880257
"355",356,"E05000356","00ATGJ","Heston East",NA,12334.1748857,2060858.89651,2147,0.00104179864212291
"356",357,"E05000357","00ATGK","Heston West",NA,8443.65316082,3829710.68942,1356,0.000354073743414638
"357",358,"E05000358","00ATGL","Hounslow Central",NA,5734.91239768,1735391.10373,1118,0.000644235179951441
"358",359,"E05000359","00ATGM","Hounslow Heath",NA,7645.12099811,2785302.40763,1444,0.000518435626969245
"359",360,"E05000360","00ATGN","Hounslow South",NA,7037.99652097,1787242.63357,1415,0.000791722384761769
"360",361,"E05000361","00ATGP","Hounslow West",NA,6479.98615899,1620736.43761,897,0.000553452109289364
"361",362,"E05000362","00ATGQ","Isleworth",NA,7731.34731156,2032320.33779,1386,0.000681979102519651
"362",363,"E05000363","00ATGR","Osterley and Spring Grove",NA,12280.1690545,6277862.1546,1994,0.000317624049539609
"363",364,"E05000364","00ATGS","Syon",NA,9104.25264744,2853762.10195,1408,0.000493383803448114
"364",365,"E05000365","00ATGT","Turnham Green",NA,7222.00976025,1769510.98554,1793,0.00101327429704859
"365",366,"E05000366","00AUFX","Barnsbury",NA,4345.28810478,830103.071991,1684,0.00202866373685072
"366",367,"E05000367","00AUFY","Bunhill",NA,6479.78201374,1083502.84121,1951,0.00180064133270575
"367",368,"E05000368","00AUFZ","Caledonian",NA,5271.39843971,1136133.89053,2444,0.00215115491259066
"368",369,"E05000369","00AUGA","Canonbury",NA,3837.83839613,807227.19641,2392,0.00296323019173244
"369",370,"E05000370","00AUGB","Clerkenwell",NA,5294.28687606,932631.839106,2097,0.00224847567074549
"370",371,"E05000371","00AUGC","Finsbury Park",NA,4688.79494753,916268.649585,2059,0.00224715753498825
"371",372,"E05000372","00AUGD","Highbury East",NA,5335.40876001,1008083.66011,2944,0.00292039253932491
"372",373,"E05000373","00AUGE","Highbury West",NA,4899.25001979,1082544.64127,2287,0.00211261495628886
"373",374,"E05000374","00AUGF","Hillrise",NA,4484.24152114,824700.900807,3710,0.00449860063976601
"374",375,"E05000375","00AUGG","Holloway",NA,4398.64370188,1008709.55274,2123,0.00210466927195703
"375",376,"E05000376","00AUGH","Junction",NA,4861.57985084,1027499.02348,2317,0.0022549899776521
"376",377,"E05000377","00AUGJ","Mildmay",NA,4477.17090532,826791.819244,2368,0.00286408252339917
"377",378,"E05000378","00AUGK","St George's",NA,4362.4640979,845825.822652,1863,0.00220258113444563
"378",379,"E05000379","00AUGL","St Mary's",NA,5253.84926135,868306.112493,2042,0.00235170520005392
"379",380,"E05000380","00AUGM","St Peter's",NA,4269.41993163,809642.149659,1674,0.0020675801039916
"380",381,"E05000381","00AUGN","Tollington",NA,4583.66452979,848682.668804,2236,0.00263467145281032
"381",382,"E05000382","00AWFY","Abingdon",NA,3629.62696759,630129.517241,443,0.000703030072195025
"382",383,"E05000383","00AWFZ","Brompton",NA,5827.60872237,955057.266439,208,0.000217787987493994
"383",384,"E05000384","00AWGA","Campden",NA,4082.21526174,911775.459979,440,0.000482574953277814
"384",385,"E05000385","00AWGB","Colville",NA,3031.18563147,390778.917296,279,0.000713958680088566
"385",386,"E05000386","00AWGC","Courtfield",NA,3968.36202314,481475.151244,156,0.00032400425981779
"386",387,"E05000387","00AWGD","Cremorne",NA,3749.32291734,612195.894818,389,0.000635417524508848
"387",388,"E05000388","00AWGE","Earl's Court",NA,2780.03703394,459349.623641,336,0.000731468978542543
"388",389,"E05000389","00AWGF","Golborne",NA,5620.49387938,942706.854289,462,0.00049007811696327
"389",390,"E05000390","00AWGG","Hans Town",NA,3377.41931873,552342.78205,313,0.000566677089247473
"390",391,"E05000391","00AWGH","Holland",NA,4428.52099549,1036929.01449,591,0.000569952225988346
"391",392,"E05000392","00AWGJ","Norland",NA,5118.4883867,727461.188265,577,0.000793169462929337
"392",393,"E05000393","00AWGK","Notting Barns",NA,4826.83411338,623524.160773,590,0.000946234383715155
"393",394,"E05000394","00AWGL","Pembridge",NA,2887.79190217,487973.331682,459,0.000940625173955398
"394",395,"E05000395","00AWGM","Queen's Gate",NA,3378.83942954,604779.031163,115,0.00019015209535062
"395",396,"E05000396","00AWGN","Redcliffe",NA,3665.30996668,694349.224107,418,0.000602002544952014
"396",397,"E05000397","00AWGP","Royal Hospital",NA,4209.11881587,901408.170067,518,0.000574656428906643
"397",398,"E05000398","00AWGQ","St Charles",NA,3732.32790659,709241.541818,633,0.000892502712650163
"398",399,"E05000399","00AWGR","Stanley",NA,4413.02646452,662477.185427,259,0.000390956859642012
"399",400,"E05000400","00AXFX","Alexandra",NA,7353.10366588,2677025.11192,74,2.76426245201246e-05
"400",401,"E05000401","00AXFY","Berrylands",NA,5865.25556965,1451721.38407,0,0
"401",402,"E05000402","00AXFZ","Beverley",NA,8037.70284612,1879886.45395,0,0
"402",403,"E05000403","00AXGA","Canbury",NA,5453.34348072,1241856.74613,0,0
"403",404,"E05000404","00AXGB","Chessington North and Hook",NA,7364.16366231,1929803.844,39,2.02093078636244e-05
"404",405,"E05000405","00AXGC","Chessington South",NA,13255.5712168,7551782.76801,91,1.20501347556342e-05
"405",406,"E05000406","00AXGD","Coombe Hill",NA,11299.402075,4421826.43903,64,1.44736571826648e-05
"406",407,"E05000407","00AXGE","Coombe Vale",NA,5301.11548426,1646964.85692,0,0
"407",408,"E05000408","00AXGF","Grove",NA,8226.42803235,1919943.0619,0,0
"408",409,"E05000409","00AXGG","Norbiton",NA,5310.16698279,1348242.45196,0,0
"409",410,"E05000410","00AXGH","Old Malden",NA,7272.70829009,1805561.51662,2,1.1076886506376e-06
"410",411,"E05000411","00AXGJ","St James",NA,7725.24861467,2168055.43229,17,7.84112792818059e-06
"411",412,"E05000412","00AXGK","St Mark's",NA,6933.03155071,1375931.69772,0,0
"412",413,"E05000413","00AXGL","Surbiton Hill",NA,6067.57703631,1664835.40655,0,0
"413",414,"E05000414","00AXGM","Tolworth and Hook Rise",NA,8081.17661698,2594666.26806,53,2.04265190680947e-05
"414",415,"E05000415","00AXGN","Tudor",NA,7946.98742557,1583071.71606,0,0
"415",416,"E05000416","00AYFZ","Bishop's",NA,5703.22966475,1539607.90721,491,0.000318912365738973
"416",417,"E05000417","00AYGA","Brixton Hill",NA,5520.92384125,1129619.07171,792,0.000701121307022829
"417",418,"E05000418","00AYGB","Clapham Common",NA,4792.1312345,1339497.39382,545,0.000406869026033254
"418",419,"E05000419","00AYGC","Clapham Town",NA,4831.12380707,1118794.59924,187,0.000167144174745558
"419",420,"E05000420","00AYGD","Coldharbour",NA,4854.91442938,1208058.09133,633,0.000523981424849093
"420",421,"E05000421","00AYGE","Ferndale",NA,5345.2825164,853664.489596,382,0.00044748259375193
"421",422,"E05000422","00AYGF","Gipsy Hill",NA,6063.46099596,1570644.92346,724,0.000460957145170475
"422",423,"E05000423","00AYGG","Herne Hill",NA,8470.68956793,2031840.90902,1478,0.000727419156407519
"423",424,"E05000424","00AYGH","Knight's Hill",NA,5740.27608729,1471654.8481,511,0.000347228156560016
"424",425,"E05000425","00AYGJ","Larkhall",NA,5277.80257935,1059324.42856,400,0.000377599146410798
"425",426,"E05000426","00AYGK","Oval",NA,6533.25939896,1277399.3947,415,0.000324878813721448
"426",427,"E05000427","00AYGL","Prince's",NA,5627.15833791,1163842.5504,492,0.000422737594384466
"427",428,"E05000428","00AYGM","St Leonard's",NA,6850.80279114,1444680.27867,388,0.000268571534980616
"428",429,"E05000429","00AYGN","Stockwell",NA,5392.9817397,867644.187846,292,0.000336543486476197
"429",430,"E05000430","00AYGP","Streatham Hill",NA,5394.30798195,1271051.4321,461,0.000362691853654595
"430",431,"E05000431","00AYGQ","Streatham South",NA,7173.15673777,1699277.1239,1345,0.0007915130387376
"431",432,"E05000432","00AYGR","Streatham Wells",NA,6536.82358829,1451362.3411,325,0.000223927540901007
"432",433,"E05000433","00AYGS","Thornton",NA,4744.5544371,1077580.35771,471,0.000437090372542995
"433",434,"E05000434","00AYGT","Thurlow Park",NA,5720.10748843,1514667.05103,526,0.000347271038634209
"434",435,"E05000435","00AYGU","Tulse Hill",NA,5819.87535412,1029416.12784,566,0.000549826241002062
"435",436,"E05000436","00AYGW","Vassall",NA,4476.52775745,1129710.7412,606,0.000536420499421537
